##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
track1_infill_bars47_51_generationtime_8.380992650985718.midi | 2.00 | 0.00 | 2 | 2 | 1.75 | 0.43 | 2 | 1
track1_infill_bars55_59_generationtime_7.448165416717529.midi | 2.00 | 0.00 | 2 | 2 | 1.75 | 0.43 | 2 | 1
track1_infill_bars55_59_generationtime_7.865380525588989.midi | 2.00 | 0.00 | 2 | 2 | 1.50 | 0.50 | 2 | 1
track1_infill_bars55_59_generationtime_8.712509393692017.midi | 2.00 | 0.00 | 2 | 2 | 1.50 | 0.50 | 2 | 1
track1_infill_bars60_64_generationtime_6.627534866333008.midi | 1.38 | 0.48 | 2 | 1 | 1.75 | 0.43 | 2 | 1
track1_infill_bars60_64_generationtime_6.836092948913574.midi | 1.38 | 0.48 | 2 | 1 | 1.75 | 0.43 | 2 | 1
track1_infill_bars60_64_generationtime_7.280848741531372.midi | 1.38 | 0.48 | 2 | 1 | 1.50 | 0.50 | 2 | 1
track1_infill_bars64_68_generationtime_5.4419214725494385.midi | 1.75 | 0.43 | 2 | 1 | 1.75 | 0.43 | 2 | 1
track1_infill_bars64_68_generationtime_6.232459545135498.midi | 1.75 | 0.43 | 2 | 1 | 2.50 | 0.50 | 3 | 2
track1_infill_bars64_68_generationtime_6.355104923248291.midi | 1.75 | 0.43 | 2 | 1 | 1.75 | 0.43 | 2 | 1
track1_infill_bars7_11_generationtime_3.7455854415893555.midi | 1.00 | 0.00 | 1 | 1 | 2.00 | 1.22 | 4 | 1
track1_infill_bars7_11_generationtime_3.9102158546447754.midi | 1.00 | 0.00 | 1 | 1 | 1.75 | 0.43 | 2 | 1
track1_infill_bars7_11_generationtime_5.494253158569336.midi | 1.00 | 0.00 | 1 | 1 | 1.75 | 0.43 | 2 | 1
track1_infill_bars90_94_generationtime_3.8595998287200928.midi | 0.50 | 0.50 | 1 | 0 | 1.00 | 0.00 | 1 | 1
track1_infill_bars90_94_generationtime_5.2043657302856445.midi | 0.50 | 0.50 | 1 | 0 | 1.75 | 1.30 | 3 | 0
track1_infill_bars90_94_generationtime_5.40121865272522.midi | 0.50 | 0.50 | 1 | 0 | 3.25 | 1.79 | 5 | 1
track1_infill_bars92_96_generationtime_12.281847953796387.midi | 0.75 | 0.43 | 1 | 0 | 2.25 | 2.17 | 6 | 1
track1_infill_bars92_96_generationtime_27.902307748794556.midi | 0.75 | 0.43 | 1 | 0 | 4.00 | 1.87 | 6 | 1
track1_infill_bars92_96_generationtime_9.241183757781982.midi | 0.75 | 0.43 | 1 | 0 | 1.00 | 0.00 | 1 | 1
track1_infill_bars98_102_generationtime_5.183160781860352.midi | 0.50 | 0.50 | 1 | 0 | 1.75 | 0.43 | 2 | 1
track1_infill_bars98_102_generationtime_5.406962633132935.midi | 0.50 | 0.50 | 1 | 0 | 1.50 | 0.50 | 2 | 1
track1_infill_bars98_102_generationtime_5.535300970077515.midi | 0.50 | 0.50 | 1 | 0 | 1.75 | 0.43 | 2 | 1
track2_infill_bars106_110_generationtime_11.63060736656189.midi | 0.75 | 0.43 | 1 | 0 | 8.25 | 2.17 | 12 | 7
track2_infill_bars106_110_generationtime_6.460888385772705.midi | 0.75 | 0.43 | 1 | 0 | 3.00 | 1.58 | 5 | 1
track2_infill_bars106_110_generationtime_7.6717023849487305.midi | 0.75 | 0.43 | 1 | 0 | 2.25 | 1.48 | 4 | 0
track2_infill_bars108_112_generationtime_4.9673378467559814.midi | 1.25 | 0.43 | 2 | 1 | 1.00 | 0.00 | 1 | 1
track2_infill_bars108_112_generationtime_5.234547853469849.midi | 1.25 | 0.43 | 2 | 1 | 3.00 | 2.92 | 8 | 1
track2_infill_bars108_112_generationtime_6.902600049972534.midi | 1.25 | 0.43 | 2 | 1 | 5.75 | 4.92 | 14 | 1
track2_infill_bars10_14_generationtime_4.992671251296997.midi | 0.75 | 0.43 | 1 | 0 | 1.75 | 1.30 | 4 | 1
track2_infill_bars10_14_generationtime_5.7763917446136475.midi | 0.75 | 0.43 | 1 | 0 | 5.25 | 3.34 | 9 | 1
track2_infill_bars10_14_generationtime_6.491029977798462.midi | 0.75 | 0.43 | 1 | 0 | 3.00 | 1.22 | 4 | 1
track2_infill_bars115_119_generationtime_16.43198871612549.midi | 1.00 | 0.00 | 1 | 1 | 2.75 | 0.43 | 3 | 2
track2_infill_bars115_119_generationtime_5.480405807495117.midi | 1.00 | 0.00 | 1 | 1 | 1.75 | 0.83 | 3 | 1
track2_infill_bars115_119_generationtime_8.425776958465576.midi | 1.00 | 0.00 | 1 | 1 | 2.00 | 0.71 | 3 | 1
track2_infill_bars118_122_generationtime_8.166076898574829.midi | 1.25 | 0.43 | 2 | 1 | 2.25 | 0.83 | 3 | 1
track2_infill_bars118_122_generationtime_8.34553599357605.midi | 1.25 | 0.43 | 2 | 1 | 3.00 | 2.12 | 6 | 1
track2_infill_bars118_122_generationtime_9.213930130004883.midi | 1.25 | 0.43 | 2 | 1 | 2.00 | 0.71 | 3 | 1
track2_infill_bars121_125_generationtime_14.374381303787231.midi | 1.00 | 0.00 | 1 | 1 | 4.00 | 2.45 | 8 | 2
track2_infill_bars121_125_generationtime_14.790964841842651.midi | 1.00 | 0.00 | 1 | 1 | 4.50 | 2.60 | 8 | 2
track2_infill_bars121_125_generationtime_87.1634030342102.midi | 1.00 | 0.00 | 1 | 1 | 2.00 | 0.00 | 2 | 2
track2_infill_bars123_127_generationtime_10.443595170974731.midi | 1.00 | 0.00 | 1 | 1 | 2.00 | 1.00 | 3 | 1
track2_infill_bars123_127_generationtime_14.700076580047607.midi | 1.00 | 0.00 | 1 | 1 | 2.25 | 0.43 | 3 | 2
track2_infill_bars123_127_generationtime_43.14455604553223.midi | 1.00 | 0.00 | 1 | 1 | 2.00 | 0.00 | 2 | 2
track2_infill_bars124_128_generationtime_13.817741394042969.midi | 1.25 | 0.43 | 2 | 1 | 3.50 | 2.50 | 6 | 1
track2_infill_bars124_128_generationtime_8.968065738677979.midi | 1.25 | 0.43 | 2 | 1 | 3.50 | 1.50 | 5 | 1
track2_infill_bars12_16_generationtime_25.468878984451294.midi | 1.38 | 0.48 | 2 | 1 | 6.50 | 3.57 | 11 | 3
track2_infill_bars12_16_generationtime_5.610000371932983.midi | 1.38 | 0.48 | 2 | 1 | 1.00 | 0.00 | 1 | 1
track2_infill_bars12_16_generationtime_6.585295677185059.midi | 1.38 | 0.48 | 2 | 1 | 1.00 | 0.00 | 1 | 1
track2_infill_bars138_142_generationtime_12.016365766525269.midi | 1.00 | 0.00 | 1 | 1 | 6.50 | 2.06 | 9 | 4
track2_infill_bars138_142_generationtime_7.740434408187866.midi | 1.00 | 0.00 | 1 | 1 | 2.50 | 1.50 | 4 | 1
