##### GLOBAL STATISTICS #####
N-gram | Mean | Std. Dev. | Median | Min | Max
---------------------------------------------
2-note | 2.50 | 2.10 | 2.00 | 0 | 9
3-note | 2.70 | 2.73 | 2.00 | 0 | 11
4-note | 2.91 | 3.45 | 2.00 | 0 | 14
2-note-ratio | 40.87 | 33.99 | 40.00 | 0.0 | 100.0
3-note-ratio | 31.41 | 33.33 | 22.22 | 0.0 | 100.0
4-note-ratio | 27.06 | 32.35 | 14.29 | 0.0 | 100.0

##### FILE-SPECIFIC N-GRAM REPETITIONS #####
Filename | 2-note | 3-note | 4-note | 2-note-ratio | 3-note-ratio | 4-note-ratio
track1_infill_bars98_102_generationtime_5.183160781860352.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track1_infill_bars98_102_generationtime_5.406962633132935.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track1_infill_bars98_102_generationtime_5.535300970077515.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars106_110_generationtime_11.63060736656189.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars106_110_generationtime_6.460888385772705.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars106_110_generationtime_7.6717023849487305.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars108_112_generationtime_4.9673378467559814.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars108_112_generationtime_5.234547853469849.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars108_112_generationtime_6.902600049972534.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars10_14_generationtime_4.992671251296997.midi | 1 | 1 | 1 | 33.33 | 33.33 | 33.33
track2_infill_bars10_14_generationtime_5.7763917446136475.midi | 2 | 1 | 1 | 66.67 | 33.33 | 33.33
track2_infill_bars10_14_generationtime_6.491029977798462.midi | 1 | 0 | 0 | 33.33 | 0.00 | 0.00
track2_infill_bars115_119_generationtime_16.43198871612549.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars115_119_generationtime_5.480405807495117.midi | 1 | 0 | 0 | 50.00 | 0.00 | 0.00
track2_infill_bars115_119_generationtime_8.425776958465576.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars118_122_generationtime_8.166076898574829.midi | 1 | 0 | 0 | 33.33 | 0.00 | 0.00
track2_infill_bars118_122_generationtime_8.34553599357605.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars118_122_generationtime_9.213930130004883.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
