Summary Statistics:
Average Score: 0.37
Minimum Score: 0.00
Maximum Score: 1.00

Filename | content_preservation_score | similarities 
4abcda6cd05a0e414d07eabaa6c71e99_track3_infill_bars52_54_context_2_generationtime_0.5611200332641602.mid | 0.44 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.5, 0.5, 0.6666666666666667, 0.6666666666666667, 0.5, 0.5, 0.5, 0.5, 0.9238795327434232, 0.9238795327434232, 1.0, 1.0, 1.0, 1.0, 0.9999999999999999]
efd7a2065c40efc9d3063dabb42a3bf0_track3_infill_bars72_74_context_2_generationtime_0.3748786449432373.mid | 0.15 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22360679774997894, 0.5, 0.7071067811865475, 0.8164965809277261, 0.8164965809277261, 0.816496580927726, 0.9428090415820634]
d0dee92c7fe81a74ae27b1e46e92b550_track2_infill_bars16_18_context_2_generationtime_0.4234480857849121.mid | 0.39 | [0.653281482274043, 0.6101314767096958, 0.6101314767096958, 0.6101314767096959, 0.6101314767096959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.2705980504693801, 0.2705980504693801, 0.2705980504693801, 0.2705980504693801, 0.2705980504693801, 0.5000000000000001, 0.5000000000000001, 0.5000000000000001, 0.6101314767096959, 0.653281482274043, 0.653281482274043, 0.653281482274043, 0.6841528371981656, 0.653281482274043, 0.653281482274043]
d35c79d133d6e6e633fa71d215da64b3_track1_infill_bars32_34_context_2_generationtime_1.0339453220367432.mid | 0.77 | [0.6864064729836442, 0.6709830176209821, 0.653041303084732, 0.71725258132475, 0.7720341796117252, 0.8256742750370649, 0.8746040712505994, 0.9136329054237712, 0.9627792794289751, 0.9915602519101198, 1.0, 0.9992687705551421, 0.9973401729414685, 0.9909449889337307, 0.9690646873784683, 0.9248337154805445, 0.856525446886935, 0.7728016233416798, 0.6894078846857309, 0.6527842266751429, 0.617574308207744, 0.6343912081191597, 0.6430886646486156, 0.641144070441938, 0.6300067565341045, 0.6137419408196647, 0.5962847939999438, 0.6413952762188633, 0.6843380977480688, 0.6962543380158609, 0.7118114560265689, 0.7328956430210625]
0f74cf4c9fc5d7169c63fa2b7e640e82_track1_infill_bars12_14_context_2_generationtime_0.49094390869140625.mid | 0.00 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
477ee27a5f02a45b8a46e5158fc68f4a_track2_infill_bars4_6_context_2_generationtime_0.9269545078277588.mid | 0.65 | [0.0, 0.5249637684943957, 0.5238252961191487, 0.5636995187837684, 0.592342545681243, 0.6227946911197706, 0.650989287109966, 0.6781825195080616, 0.7019402304757232, 0.7194224618592664, 0.7385489458759965, 0.6801020869326605, 0.5842110824910773, 0.5370639008876203, 0.4671802400175509, 0.4532370853960299, 0.4245816623678358, 0.5766769765942976, 0.6736631428493761, 0.6859098673948922, 0.6350589643233006, 0.6119690329840589, 0.5745940087927418, 0.6797867265918838, 0.7159967576272853, 0.7542530228977874, 0.7720294992065445, 0.8688309337914688, 0.9155438660576042, 0.9342776636699052, 0.9449385724147688, 0.9663239651710578]
54d588ad88b6cdff881ffeba9e27b627_track7_infill_bars12_14_context_2_generationtime_0.7576749324798584.mid | 0.07 | [0.0, 0.0, 0.0, 0.24253562503633297, 0.44721359549995787, 0.5345224838248487, 0.5773502691896258, 0.5345224838248488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
83702541c2a0029107f20935b81763df_track6_infill_bars40_42_context_2_generationtime_1.3950045108795166.mid | 0.42 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.08215909481495631, 0.17975711642532566, 0.28195760064458675, 0.36860083221523876, 0.4117917295754552, 0.4102052270842901, 0.37611412733932503, 0.37314168141880555, 0.38848724181441485, 0.4063538772948021, 0.4248609387633857, 0.4412025891656719, 0.4530458880837114, 0.4400136315387545, 0.48432079279835727, 0.5147156663432241, 0.567891766703259, 0.6122057022855678, 0.6449745783249812, 0.6648518594837844, 0.6701534588684452, 0.661160080525679, 0.6706082734746227, 0.7272611701166075, 0.7328465591797519, 0.7389006355684253, 0.7445956438277094]
a2f1173c70791b148884fd470f63ee11_track3_infill_bars28_30_context_2_generationtime_0.27079010009765625.mid | 0.55 | [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9899494936611665, 0.9486832980505138, 0.8574929257125442, 0.7071067811865475, 0.5144957554275265, 0.316227766016838, 0.14142135623730945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4ee63666af946885ea654bb0db1cd957_track3_infill_bars60_62_context_2_generationtime_0.44578027725219727.mid | 0.19 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.6841528373261503, 0.5897420762370549, 0.8335843074232662, 0.9419217682871927, 0.7427932645570601, 0.5270612968684965, 0.36983737044054754, 0.3648134431829295, 0.4213442713927127, 0.4419460467988128, 0.18341355829545547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
