##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
track0_infill_bars92_96_generationtime_6.625631332397461.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track1_infill_bars105_109_generationtime_20.097963333129883.midi | 0.75 | 0.46 | 1 | 0 | 1.50 | 1.00 | 3 | 1
track1_infill_bars105_109_generationtime_6.3288469314575195.midi | 0.75 | 0.46 | 1 | 0 | 1.00 | 0.00 | 1 | 1
track1_infill_bars105_109_generationtime_9.192710399627686.midi | 0.75 | 0.46 | 1 | 0 | 2.50 | 1.00 | 3 | 1
track1_infill_bars136_140_generationtime_10.95158576965332.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track1_infill_bars136_140_generationtime_15.61214566230774.midi | 8.00 | 0.00 | 8 | 8 | 6.50 | 3.00 | 8 | 2
track1_infill_bars136_140_generationtime_6.330535173416138.midi | 8.00 | 0.00 | 8 | 8 | 3.00 | 1.15 | 4 | 2
track1_infill_bars19_23_generationtime_10.30029559135437.midi | 0.00 | 0.00 | 0 | 0 | 7.50 | 1.00 | 8 | 6
track1_infill_bars19_23_generationtime_5.841757774353027.midi | 0.00 | 0.00 | 0 | 0 | 3.75 | 0.50 | 4 | 3
track1_infill_bars19_23_generationtime_6.679826498031616.midi | 0.00 | 0.00 | 0 | 0 | 4.75 | 1.50 | 7 | 4
track1_infill_bars44_48_generationtime_11.288651466369629.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track1_infill_bars44_48_generationtime_18.544511079788208.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track1_infill_bars44_48_generationtime_18.8559992313385.midi | 8.00 | 0.00 | 8 | 8 | 7.50 | 1.00 | 8 | 6
track1_infill_bars44_48_generationtime_26.40181565284729.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track1_infill_bars44_48_generationtime_6.112382650375366.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
